product_id,retailer_id,name,category,price,stock_count,discount_pct,is_essential
P0001,R001,Daily Item 1 (Premium),Essentials,463,37,25,1
P0002,R001,Drink 2 (Standard),Beverages,61,43,14,0
P0003,R001,Daily Item 3 (Fresh),Essentials,525,15,19,1
P0004,R001,Snack 4 (Pack),Junk,70,43,0,0
P0005,R001,Daily Item 5 (Pack),Essentials,554,2,0,1
P0006,R001,Salad/Fruit 6 (Standard),Healthy,120,8,8,1
P0007,R001,Drink 7 (Standard),Beverages,53,49,0,0
P0008,R001,Snack 8 (Pack),Junk,72,1,0,0
P0009,R001,Salad/Fruit 9 (Premium),Healthy,1055,6,0,1
P0010,R001,Daily Item 10 (Premium),Essentials,84,13,0,1
P0011,R001,Snack 11 (Fresh),Junk,379,3,0,0
P0012,R001,Snack 12 (Premium),Junk,73,41,0,0
P0013,R001,Drink 13 (Pack),Beverages,230,17,0,0
P0014,R001,Snack 14 (Pack),Junk,221,35,0,0
P0015,R001,Daily Item 15 (Pack),Essentials,320,7,0,1
P0016,R001,Daily Item 16 (Premium),Essentials,751,39,0,1
P0017,R001,Drink 17 (Fresh),Beverages,92,23,0,0
P0018,R001,Daily Item 18 (Premium),Essentials,237,44,19,1
P0019,R001,Drink 19 (Fresh),Beverages,104,24,0,0
P0020,R001,Daily Item 20 (Premium),Essentials,178,43,15,1
P0021,R002,Salad/Fruit 21 (Pack),Healthy,692,7,0,1
P0022,R002,Drink 22 (Pack),Beverages,270,40,0,0
P0023,R002,Drink 23 (Standard),Beverages,72,47,0,0
P0024,R002,Snack 24 (Premium),Junk,235,36,0,0
P0025,R002,Daily Item 25 (Premium),Essentials,775,26,0,1
P0026,R002,Salad/Fruit 26 (Standard),Healthy,712,46,0,1
P0027,R002,Drink 27 (Pack),Beverages,44,25,18,0
P0028,R002,Salad/Fruit 28 (Premium),Healthy,894,8,0,1
P0029,R002,Snack 29 (Standard),Junk,61,12,11,0
P0030,R002,Drink 30 (Premium),Beverages,91,31,0,0
P0031,R002,Drink 31 (Fresh),Beverages,270,44,0,0
P0032,R002,Drink 32 (Pack),Beverages,75,12,23,0
P0033,R002,Snack 33 (Fresh),Junk,303,1,0,0
P0034,R002,Snack 34 (Pack),Junk,153,27,0,0
P0035,R002,Daily Item 35 (Standard),Essentials,389,29,0,1
P0036,R002,Daily Item 36 (Pack),Essentials,555,27,0,1
P0037,R002,Snack 37 (Pack),Junk,244,0,29,0
P0038,R002,Daily Item 38 (Standard),Essentials,794,2,12,1
P0039,R002,Salad/Fruit 39 (Pack),Healthy,748,36,0,1
P0040,R002,Snack 40 (Premium),Junk,191,23,0,0
P0041,R003,Snack 41 (Standard),Junk,179,31,0,0
P0042,R003,Daily Item 42 (Standard),Essentials,162,48,16,1
P0043,R003,Snack 43 (Standard),Junk,314,1,0,0
P0044,R003,Drink 44 (Fresh),Beverages,152,16,6,0
P0045,R003,Snack 45 (Fresh),Junk,239,22,5,0
P0046,R003,Drink 46 (Pack),Beverages,165,1,0,0
P0047,R003,Snack 47 (Standard),Junk,179,5,8,0
P0048,R003,Salad/Fruit 48 (Pack),Healthy,302,16,0,1
P0049,R003,Daily Item 49 (Premium),Essentials,659,5,0,1
P0050,R003,Salad/Fruit 50 (Standard),Healthy,851,15,0,1
P0051,R003,Daily Item 51 (Premium),Essentials,236,5,0,1
P0052,R003,Salad/Fruit 52 (Pack),Healthy,759,35,7,1
P0053,R003,Salad/Fruit 53 (Fresh),Healthy,246,19,0,1
P0054,R003,Daily Item 54 (Pack),Essentials,538,32,0,1
P0055,R003,Salad/Fruit 55 (Premium),Healthy,437,39,29,1
P0056,R003,Drink 56 (Standard),Beverages,190,30,0,0
P0057,R003,Salad/Fruit 57 (Pack),Healthy,362,15,0,1
P0058,R003,Drink 58 (Standard),Beverages,99,48,20,0
P0059,R003,Snack 59 (Fresh),Junk,159,4,0,0
P0060,R003,Salad/Fruit 60 (Fresh),Healthy,1114,8,23,1
P0061,R004,Daily Item 61 (Fresh),Essentials,257,2,0,1
P0062,R004,Snack 62 (Standard),Junk,139,32,0,0
